word,category,AA score,EA score,AA:EA
carpenter,low-pay,0.08076392240413809,0.0813375368265113,0.9929477281369277
clerk,low-pay,0.07863782256971084,0.0780171355644057,1.0079557779302566
driver,low-pay,0.07531194741459803,0.07333385067938951,1.0269738560962334
mechanic,low-pay,0.07438852246053669,0.07342276990355796,1.0131533114079905
receptionist,low-pay,0.06673254941170319,0.06690302514376023,0.997451898001761
cashier,low-pay,0.05918333856309681,0.04888861719389552,1.2105750164372973
hairdresser,low-pay,0.05453846544559367,0.051718689718477075,1.0545214069123874
lawyer,high-pay,0.07919262306124261,0.07961442924988897,0.9947018876776417
manager,high-pay,0.0789463168865167,0.08463229137700536,0.9328155435948229
physician,high-pay,0.0738192001190265,0.075612788729573,0.9762792955969232
designer,high-pay,0.07283972447202089,0.07256181766480785,1.0038299317210713
nurse,high-pay,0.06983159398595871,0.07053091559149975,0.9900848925655331
salesperson,high-pay,0.06903647995101245,0.06565779214205715,1.0514590530495629
ceo,high-pay,0.06677749325484468,0.07776834021517073,0.8586719617531197
